No,Words,English_word,image,,,,,,
3219,అప్పడాలకర్ర,appadala_karra,appadala_karra.jpg,6,11,3,3,2021-06-07 21:10:02,2021-06-07 21:10:02
3220,బంగాళాదుంప,potato,potato.jpg,5,10,3,3,2021-06-07 21:11:10,2021-06-07 21:11:10
3221,ఉర్లగడ్డ,potato,potato.jpg,4,8,3,3,2021-06-07 21:11:10,2021-06-07 21:11:10
3222,ఆలుగడ్డ,potato,potato.jpg,4,7,3,3,2021-06-07 21:11:10,2021-06-07 21:11:10
3223,వెన్నపండు,avocado,avocado.jpg,4,9,3,3,2021-06-07 21:54:27,2021-06-07 21:54:27
3224,గాలిచూలి,lord hanuman,hanuman.png,4,8,2,2,2021-06-07 21:55:15,2021-06-07 21:55:15
3225,బృహన్నవ్యతార,super nova,super_nova.jpg,6,12,3,3,2021-06-07 22:01:20,2021-06-07 22:01:20
3226,పొగాకుచుట్టలు,cigarస్,cigar.jpg,6,13,3,3,2021-06-07 22:02:05,2021-06-07 22:02:05
3227,గోరుచిక్కుడు,goru chikkuDu,beans_goru_chikkuDu.jpeg,5,12,4,4,2021-06-07 22:05:06,2021-06-07 22:05:06
3228,శ్రీరామచిక్కుడు,goru chikkuDu,beans_goru_chikkuDu.jpeg,6,15,4,4,2021-06-07 22:05:06,2021-06-07 22:05:06
3229,గోకరకాయ,goru chikkuDu,beans_goru_chikkuDu.jpeg,5,7,2,2,2021-06-07 22:05:06,2021-06-07 22:05:06
3230,మటికకాయ;చౌళేకాయ,goru chikkuDu,beans_goru_chikkuDu.jpeg,10,15,2,2,2021-06-07 22:05:06,2021-06-07 22:05:06
3231,గోరీకాయ,goru chikkuDu,beans_goru_chikkuDu.jpeg,4,7,2,2,2021-06-07 22:05:06,2021-06-07 22:05:06
3232,మెటిక్కాయ,goru chikkuDu,beans_goru_chikkuDu.jpeg,4,9,4,4,2021-06-07 22:05:06,2021-06-07 22:05:06
3233,మటికకాయ,beans,beans_goru_chikkuDu.jpeg,5,7,2,2,2021-06-07 22:05:46,2021-06-07 22:05:46
3234,చౌళేకాయ,beans,beans_goru_chikkuDu.jpeg,4,7,2,2,2021-06-07 22:05:46,2021-06-07 22:05:46
3235,అడ్డసారె,dice,stick_dice.png,4,8,3,3,2021-06-08 12:40:52,2021-06-08 12:40:52
3236,కోడిగుడ్లు,eggs,eggs_sunnapukayalu.jpg,4,10,4,4,2021-06-08 12:40:52,2021-06-08 12:40:52
3237,అంగారకమణి,pagadam,coral.png,6,9,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3238,పగడము,pagadam,coral.png,4,5,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3239,లతామణి,pagadam,coral.png,4,6,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3240,నొసలు,forehead,forehead.png,3,5,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3241,ఫాలము,forehead,forehead.png,3,5,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3242,నిటలము,forehead,forehead.png,4,6,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3243,నుదురు,forehead,forehead.png,3,6,2,2,2021-06-08 12:40:53,2021-06-08 12:40:53
3244,అయస్కాంతక్షేత్రం,magnetic field,magnetic_field.jpg,6,16,5,5,2021-06-08 12:53:40,2021-06-08 12:53:40
3245,గైరుహాజరు,absent,absence.jpg,5,9,2,2,2021-06-08 12:53:40,2021-06-08 12:53:40
3246,పాలకడలివెన్న,moon,moon.png,7,12,3,3,2021-06-08 12:53:40,2021-06-08 12:53:40
3247,భాండాగారం,treasury,treasury_2.jpg,4,9,3,3,2021-06-08 12:53:40,2021-06-08 12:53:40
3248,ధనగృహము,treasury,treasury_2.jpg,5,7,2,2,2021-06-08 12:53:40,2021-06-08 12:53:40
3249,ఖజానాకొట్టు,treasury,treasury_2.jpg,5,11,4,4,2021-06-08 12:53:40,2021-06-08 12:53:40
3250,బొక్కసము,treasury,treasury_2.jpg,4,8,3,3,2021-06-08 12:53:40,2021-06-08 12:53:40
3251,అభయారణ్యం,forest,forest_sanctuary.jpg,5,9,4,4,2021-06-10 09:13:30,2021-06-10 09:13:30
3252,గాలిగోపురం,temple top,gali_gopuram.jpg,5,10,2,2,2021-06-10 09:13:30,2021-06-10 09:13:30
3253,అట్లకాడ,atlakada,,4,7,3,3,2021-06-10 20:37:41,2021-06-10 20:37:41
3254,గుండుసున్న,zero,naught_zero.png,4,10,3,3,2021-06-10 20:37:41,2021-06-10 20:37:41
3255,గాలిచీర,sailing screen,sail_boat_2.jpg,4,7,2,2,2021-06-10 20:37:41,2021-06-10 20:37:41
3256,తెరచాప,sailing screen,sail_boat_2.jpg,4,6,2,2,2021-06-10 20:37:41,2021-06-10 20:37:41
3257,డమాను,sailing screen,sail_boat_2.jpg,3,5,2,2,2021-06-10 20:37:41,2021-06-10 20:37:41
3258,కుర్రకారు,young people,young_people.jpg,4,9,3,3,2021-06-10 20:37:41,2021-06-10 20:37:41
3259,కొయ్యగరిటె,coconut spoon,spoon_made_of_coconut_shell.JPG,5,10,3,3,2021-06-11 08:06:17,2021-06-11 08:06:17
3260,అగప,coconut spoon,spoon_made_of_coconut_shell.JPG,3,3,1,1,2021-06-11 08:06:17,2021-06-11 08:06:17
3261,ఖిన్నము,dejected,crying.jpg,3,7,3,3,2021-06-11 08:06:17,2021-06-11 08:06:17
3262,గాలింపు,sifting,sifting_verb.jpg,3,7,3,3,2021-06-11 08:06:17,2021-06-11 08:06:17
3263,కుదురు,pot rest,pot_rest.JPG,3,6,2,2,2021-06-11 08:06:17,2021-06-11 08:06:17
3264,బేడీలు,chains,chains_arrest.jpg,3,6,2,2,2021-06-11 11:17:08,2021-06-11 11:17:08
3265,సంకెళ్ళు,chains,chains_arrest.jpg,3,8,4,4,2021-06-11 11:17:08,2021-06-11 11:17:08
3266,చేరుకోల,whip,whip.png,4,7,2,2,2021-06-11 11:23:49,2021-06-11 11:23:49
3267,చణుకు,whip,whip.png,3,5,2,2,2021-06-11 11:23:49,2021-06-11 11:23:49
3268,సన్నకారురైతులు,farmers,small_scale_farmers.jpg,7,14,3,3,2021-06-11 11:28:42,2021-06-11 11:28:42
3269,బంగాళాపెంకులు,bangla_penku,bangala_tiles.jpg,6,13,3,3,2021-06-11 11:28:42,2021-06-11 11:28:42
3270,సన్నగాడు,lean fellow,lean_fellow.jpg,4,8,3,3,2021-06-11 16:27:27,2021-06-11 16:27:27
3271,మసాలాగారెలు,masala_garelu,masala_garelu.jpg,6,11,2,2,2021-06-11 16:38:51,2021-06-11 16:38:51
3272,ఉలవచారు,ulava charu,ulava_charu.png,5,7,2,2,2021-06-11 16:43:23,2021-06-11 16:43:23
3273,వెన్నముద్ద,butter ball,butter_ball.JPG,4,10,3,3,2021-06-11 16:52:05,2021-06-11 16:52:05
3274,వెన్నదొంగ,baby krishna,venna_donga.JPG,4,9,3,3,2021-06-11 16:57:14,2021-06-11 16:57:14
3275,వెన్నముచ్చు,baby krishna,venna_donga.JPG,4,11,4,4,2021-06-11 16:57:14,2021-06-11 16:57:14
3276,నవనీతచోరుడు,baby krishna,venna_donga.JPG,7,11,2,2,2021-06-11 16:57:14,2021-06-11 16:57:14
3277,గానమందిరం,concert hall,concert_hall.jpg,5,9,2,2,2021-06-11 17:04:57,2021-06-11 17:04:57
3278,అభినందన,congrats,congrats.jpg,5,7,2,2,2021-06-11 17:15:26,2021-06-11 17:15:26
3279,ఆగాకరకాయ,agaraka,agakara_kaya.jpg,6,8,2,2,2021-06-11 17:30:10,2021-06-11 17:30:10
3280,అడవికాకర,agaraka,agakara_kaya.jpg,6,8,2,2,2021-06-11 17:30:10,2021-06-11 17:30:10
3281,ముళ్ళకాకర,agaraka,agakara_kaya.jpg,5,9,3,3,2021-06-11 17:30:10,2021-06-11 17:30:10
3282,బుడిపికాకర,agaraka,agakara_kaya.jpg,6,10,2,2,2021-06-11 17:30:10,2021-06-11 17:30:10
3283,పున్నమి,full  moon,full_moon.png,3,7,3,3,2021-06-11 17:33:42,2021-06-11 17:33:42
3284,పూర్ణమి,full  moon,full_moon.png,3,7,3,3,2021-06-11 17:33:42,2021-06-11 17:33:42
3285,పౌర్ణమి,full  moon,full_moon.png,3,7,3,3,2021-06-11 17:33:42,2021-06-11 17:33:42
3286,అనంతశయనుడు,vishnu,lord_vishnu.png,7,10,2,2,2021-06-11 18:38:33,2021-06-11 18:38:33
3288,దారువు,wood log,wood_log.jpg,3,6,2,2,2021-06-11 18:51:53,2021-06-11 18:51:53
3289,మ్రాను,wood log,wood_log.jpg,2,6,4,4,2021-06-11 18:51:53,2021-06-11 18:51:53
3290,సున్నపుబట్టీలు,lime kiln,lime_kilns.jpeg,6,14,4,4,2021-06-11 19:01:43,2021-06-11 19:01:43
3291,అస్త్రాగారము,armoury,armory.png,5,12,6,6,2021-06-11 19:03:04,2021-06-11 19:03:04
3292,ఆయుధశాల,armoury,armory.png,5,7,2,2,2021-06-11 19:03:04,2021-06-11 19:03:04
3293,ఆయుధాగారం,armoury,armory.png,5,9,2,2,2021-06-11 19:03:04,2021-06-11 19:03:04
3294,సన్నపిల్లి,spider,spider_web.png,4,10,4,4,2021-06-11 19:15:07,2021-06-11 19:15:07
3295,ఈగపులి,spider,spider_web.png,4,6,2,2,2021-06-11 19:15:07,2021-06-11 19:15:07
3296,అభినయము,abhinaya,abhinaya.png,5,7,2,2,2021-06-11 19:17:26,2021-06-11 19:17:26
3297,మాగాయ,mango pickle,mango_pickle.jpg,3,5,2,2,2021-06-11 19:18:43,2021-06-11 19:18:43
3298,మామిడికాయపచ్చడి,mango pickle,mango_pickle.jpg,8,15,3,3,2021-06-11 19:18:43,2021-06-11 19:18:43
3299,చిరుధాన్యములు,millets,millets.jpg,6,13,3,3,2021-06-11 19:20:37,2021-06-11 19:20:37
3300,అరికాళ్ళు,sole,soles_feet.jpg,4,9,4,4,2021-06-11 19:57:34,2021-06-11 19:57:34
3301,అన్నదానము,food_serving,annadanam.jpg,5,9,3,3,2021-06-11 19:59:02,2021-06-11 19:59:02
3302,యోగాసనాలు,yogasans,yoga_asanas.png,5,9,2,2,2021-06-11 20:01:27,2021-06-11 20:01:27
3303,నూరురాయి,sharpening stone,sharpening_stone.jpeg,4,8,2,2,2021-06-11 20:05:25,2021-06-11 20:05:25
3304,సన్నెకల్లు,sharpening stone,sharpening_stone.jpeg,4,10,4,4,2021-06-11 20:05:25,2021-06-11 20:05:25
3305,సేంద్రీయఎరువు,organic fertilizer,organic_fertilizer.jpg,6,13,4,4,2021-06-11 20:27:10,2021-06-11 20:27:10
3306,చిన్నఉల్లిపాయలు,garlic,garlic.jpg,7,15,4,4,2021-06-11 20:27:10,2021-06-11 20:27:10
3307,ఉంగరపువ్రేలు,ring finger,ring_finger.jpg,6,12,4,4,2021-06-11 20:30:43,2021-06-11 20:30:43
3308,అరగూడు,niche in the wall,niche_in_the_wall.jpg,4,6,2,2,2021-06-11 20:36:06,2021-06-11 20:36:06
3309,అశ్వమేధయాగం,aswamedha yagam,aswamedha.jpg,6,11,3,3,2021-06-11 20:41:52,2021-06-11 20:41:52
3310,చెన్నగి,short coconut tree,short_coconut_tree.jpg,3,7,3,3,2021-06-11 20:48:06,2021-06-11 20:48:06
3311,ఏరువాక,eruvaka,eruvaka.JPG,4,6,2,2,2021-06-11 20:51:04,2021-06-11 20:51:04
3312,అయ్యవారు,teacher,teacher (2).png,4,8,3,3,2021-06-12 09:40:02,2021-06-12 09:40:02
3313,ఉపాధ్యాయులు,teacher,teacher (2).png,5,11,4,4,2021-06-12 09:40:02,2021-06-12 09:40:02
3314,అర్చకుడు,preist,vishnu_preist.png,4,8,3,3,2021-06-12 09:40:52,2021-06-12 09:40:52
3315,సన్నజాజులు,jasmines,sannajajulu.jpg,5,10,3,3,2021-06-12 09:43:52,2021-06-12 09:43:52
3316,చెదురుబొమ్మ,scatter diagram,scatter_diagram.png,5,11,3,3,2021-06-12 09:45:20,2021-06-12 09:45:20
3317,జన్నము,homam,yagamu.jpg,3,6,3,3,2021-06-12 09:51:52,2021-06-12 09:51:52
3318,వేలిమి,homam,yagamu.jpg,3,6,2,2,2021-06-12 09:51:52,2021-06-12 09:51:52
3319,హోమము,homam,yagamu.jpg,3,5,2,2,2021-06-12 09:51:52,2021-06-12 09:51:52
3320,గాసటబీసట,confusion,confusion.jpg,6,8,2,2,2021-06-12 09:54:48,2021-06-12 09:54:48
3321,గందరగోళము,confusion,confusion.jpg,6,9,2,2,2021-06-12 09:54:48,2021-06-12 09:54:48
3322,గడబిడ,confusion,confusion.jpg,4,5,2,2,2021-06-12 09:54:48,2021-06-12 09:54:48
3323,అస్పష్టత,confusion,confusion.jpg,4,8,3,3,2021-06-12 09:54:48,2021-06-12 09:54:48
3324,కలవరపాటు,confusion,confusion.jpg,6,8,2,2,2021-06-12 09:54:48,2021-06-12 09:54:48
3325,అత్తిపత్తి,touch me not,touch_me_not_plant.jpg,4,10,4,4,2021-06-12 09:58:15,2021-06-12 09:58:15
3326,చెదపురుగులు,termites,termites.jpg,6,11,2,2,2021-06-12 10:09:27,2021-06-12 10:09:27
3327,అవ్వ,grandma,grandma_icon.png,2,4,3,3,2021-06-12 10:26:14,2021-06-12 10:26:14
3328,నిన్న,yesterday,yesterday.png,2,5,3,3,2021-06-12 10:26:14,2021-06-12 10:26:14
3329,పాగా,turban,turban_icon.png,2,4,2,2,2021-06-12 10:26:14,2021-06-12 10:26:14
3330,తేరు,chariot,chariot_icon.png,2,4,2,2,2021-06-12 10:26:14,2021-06-12 10:26:14
3331,అష్టావధానము,ashtavadhanam,ashtavadhanam.jpg,6,11,4,4,2021-06-12 10:49:01,2021-06-12 10:49:01
3332,పన్నగము,snake,cobra_snake.png,4,7,3,3,2021-06-12 18:47:34,2021-06-12 18:47:34
3333,సర్పము,snake,cobra_snake.png,3,6,3,3,2021-06-12 18:47:34,2021-06-12 18:47:34
3334,పాము,snake,cobra_snake.png,2,4,2,2,2021-06-12 18:47:34,2021-06-12 18:47:34
3335,గురువింద,guruvinda,guruvinda.jpg,4,8,3,3,2021-06-12 18:48:49,2021-06-12 18:48:49
3336,గాలికన్ను,window for the light,window_for_the_light.jpg,4,9,4,4,2021-06-12 18:56:32,2021-06-12 18:56:32
3337,పన్నకము,plan,plan.png,4,7,3,3,2021-06-12 19:00:42,2021-06-12 19:00:42
3338,గుత్తేదారు,contractor,contractor.jpg,4,10,4,4,2021-06-12 19:02:14,2021-06-12 19:02:14
3339,పశ్చిమబెంగాల్,west bengal,west_bengal.JPG,6,13,4,4,2021-06-12 19:21:09,2021-06-12 19:21:09
3340,బోదురుకప్ప,big green frog,boduru_kappa.jpg,5,10,3,3,2021-06-12 19:29:21,2021-06-12 19:29:21
3341,అనపకాయ,bottle gourd,bottle_gourd.jpg,5,6,2,2,2021-06-12 19:32:04,2021-06-12 19:32:04
3342,సొరకాయ,bottle gourd,bottle_gourd.jpg,4,6,2,2,2021-06-12 19:32:04,2021-06-12 19:32:04
3343,కన్నకోల,crow bar,crow_bar.jpg,4,7,3,3,2021-06-12 19:33:41,2021-06-12 19:33:41
3344,బసవన్న,bull,bull.png,4,6,3,3,2021-06-12 19:37:56,2021-06-12 19:37:56
3345,వృషభము,bull,bull.png,4,6,2,2,2021-06-12 19:37:56,2021-06-12 19:37:56
3346,ఎద్దు,bull,bull.png,2,5,4,4,2021-06-12 19:37:56,2021-06-12 19:37:56
3347,ఆంబోతు,bull,bull.png,3,6,2,2,2021-06-12 19:37:56,2021-06-12 19:37:56
3348,గాలిమర,wind mill,wind_mill.jpg,4,6,2,2,2021-06-12 19:41:20,2021-06-12 19:41:20
3349,కర్ణాటక,karanataka,karnataka.png,4,7,4,4,2021-06-12 19:50:37,2021-06-12 19:50:37
3350,కన్నడదేశము,karanataka,karnataka.png,6,10,3,3,2021-06-12 19:50:37,2021-06-12 19:50:37
3351,పింగాణిసామాను,ceramic bowls,ceramic_bowls.jpg,6,13,3,3,2021-06-12 19:58:07,2021-06-12 19:58:07
3352,పింగాణిపాత్రలు,ceramic bowls,ceramic_bowls.jpg,6,14,3,3,2021-06-12 19:58:07,2021-06-12 19:58:07
3353,కందెనచమురు,lubricant,lubricant.jpg,6,10,2,2,2021-06-12 20:01:45,2021-06-12 20:01:45
3354,శస్త్రచికిత్స,surgery,surgery.PNG,5,13,5,5,2021-06-12 20:03:50,2021-06-12 20:03:50
3355,అశోకచక్రము,ashoka chakra,ashoka_chakra.jpg,6,10,3,3,2021-06-12 20:05:46,2021-06-12 20:05:46
3356,జొన్నరొట్టె,jonna_roTTe,jonna_roTTe.jpg,4,11,4,4,2021-06-12 20:43:34,2021-06-12 20:43:34
3357,అనుగామి,follower,follower.JPG,4,7,2,2,2021-06-12 20:46:52,2021-06-12 20:46:52
3358,పునరుక్తి,tautology,tautology.JPG,4,9,4,4,2021-06-12 20:51:14,2021-06-12 20:51:14
3359,అదాలతు,court,court.png,4,6,2,2,2021-06-12 20:52:22,2021-06-12 20:52:22
3360,న్యాయసభ,court,court.png,4,7,4,4,2021-06-12 20:52:22,2021-06-12 20:52:22
3361,సున్నము,white wash,white_wash.jpg,3,7,3,3,2021-06-12 20:57:03,2021-06-12 20:57:03
3362,అసూయ,envy,envy.jpg,3,4,2,2,2021-06-12 20:57:36,2021-06-12 20:57:36
3363,గారాబం,affection,affection_love_mother_baby.jpg,3,6,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3364,ఆప్యాయము,affection,affection_love_mother_baby.jpg,4,8,4,4,2021-06-12 21:03:03,2021-06-12 21:03:03
3365,గారము,affection,affection_love_mother_baby.jpg,3,5,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3366,గోము,affection,affection_love_mother_baby.jpg,2,4,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3367,మచ్చిక,affection,affection_love_mother_baby.jpg,3,6,4,4,2021-06-12 21:03:03,2021-06-12 21:03:03
3368,మమకారము,affection,affection_love_mother_baby.jpg,5,7,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3369,మారాము,affection,affection_love_mother_baby.jpg,3,6,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3370,మాలిమి,affection,affection_love_mother_baby.jpg,3,6,2,2,2021-06-12 21:03:03,2021-06-12 21:03:03
3371,వాత్సల్యము,affection,affection_love_mother_baby.jpg,4,10,3,3,2021-06-12 21:03:03,2021-06-12 21:03:03
3372,ఖద్దరు,khadi,khadi.jpg,3,6,3,3,2021-06-12 21:06:36,2021-06-12 21:06:36
3373,ఖాదీ,khadi,khadi.jpg,2,4,2,2,2021-06-12 21:06:36,2021-06-12 21:06:36
3374,భిన్నత్వం,pluralism,pluralism.jpg,3,9,4,4,2021-06-12 21:11:11,2021-06-12 21:11:11
3375,అపర్ణ,parvathi,goddess_parvathi.png,3,5,3,3,2021-06-12 21:13:44,2021-06-12 21:13:44
3376,గాదము,leaf,green_leaf.jpeg,3,5,2,2,2021-06-12 21:13:44,2021-06-12 21:13:44
3377,పెరుగు,yogurt,yogurt_pot.jpeg,3,6,2,2,2021-06-12 21:13:44,2021-06-12 21:13:44
3378,అబల,woman,saree8_woman.jpg,3,3,1,1,2021-06-12 21:21:17,2021-06-12 21:21:17
3379,బ్రహన్నల,brahannala,brahannala.JPG,4,8,3,3,2021-06-12 21:21:17,2021-06-12 21:21:17
3380,సుగాత్రి,woman,saree_woman1.jpg,3,8,4,4,2021-06-12 21:21:17,2021-06-12 21:21:17
3381,తరుణి,woman,saree2_woman.jpg,3,5,2,2,2021-06-12 21:21:17,2021-06-12 21:21:17
3382,అన్నకావడి,glutton,glutton_tiMDi_pOtu.jpg,5,9,3,3,2021-06-16 12:45:36,2021-06-16 12:45:36
3383,మేతకాడు,glutton,glutton_tiMDi_pOtu.jpg,4,7,2,2,2021-06-16 12:45:36,2021-06-16 12:45:36
3384,తిండికత్తె,glutton,glutton_woman.jpg,4,10,4,4,2021-06-16 12:50:13,2021-06-16 12:50:13
3385,సర్వోన్నతన్యాయస్థానం,supreme court,supreme_court.JPG,8,20,4,4,2021-06-16 12:58:08,2021-06-16 12:58:08
3386,గున్నపెంకు,flower pot,flower_pot.JPG,4,10,3,3,2021-06-16 15:17:19,2021-06-16 15:17:19
3387,పూలతొట్టి,flower pot,flower_pot.JPG,4,9,4,4,2021-06-16 15:17:19,2021-06-16 15:17:19
3388,కుండీ,flower pot,flower_pot.JPG,2,5,3,3,2021-06-16 15:17:19,2021-06-16 15:17:19
3389,అష్టదిక్కులు,8 directions,eight_directions.png,5,12,4,4,2021-06-17 08:15:15,2021-06-17 08:15:15
3390,కళాకారుడు,artist,artist.jpeg,5,9,2,2,2021-06-17 08:16:03,2021-06-17 08:16:03
3391,నవాణం,pincers,pincers.jpg,3,5,2,2,2021-06-17 12:24:51,2021-06-17 12:24:51
3392,శ్రావణము,pincers,pincers.jpg,4,8,4,4,2021-06-17 12:24:51,2021-06-17 12:24:51
3393,పటకారు,pincers,pincers.jpg,4,6,2,2,2021-06-17 12:24:51,2021-06-17 12:24:51
3394,అడసాల,kitchen,kitchen.png,4,5,2,2,2021-06-17 12:28:25,2021-06-17 12:28:25
3395,అచ్చికబుచ్చికలు,chit chatting,chit_chat_women.png,7,15,4,4,2021-06-17 12:38:56,2021-06-17 12:38:56
3396,నెత్తురు,blood,blood.png,3,8,4,4,2021-06-17 12:38:56,2021-06-17 12:38:56
3397,పన్నగపతి,adiseshu,adiseshudu.jpg,5,8,3,3,2021-06-17 12:38:56,2021-06-17 12:38:56
3398,అదిశేషుడు,adiseshu,adiseshudu.jpg,5,9,2,2,2021-06-17 12:38:56,2021-06-17 12:38:56
3399,కేటుగాడు,cheater,cheating.jpg,4,8,2,2,2021-06-17 12:40:36,2021-06-17 12:40:36
3400,చెన్నకేశవస్వామి,chenna kesava swamy,chenna_kesava_swamy.jpg,7,15,4,4,2021-06-21 13:26:03,2021-06-21 13:26:03
3401,ఆచార్యనాగార్జున,acharaya nagarjuna,acharya_nagarjuna.jpg,7,15,4,4,2021-06-21 13:34:34,2021-06-21 13:34:34
3402,చక్కిలములు,jantikalu,chakralu_2.jpg,5,10,4,4,2021-06-21 13:37:36,2021-06-21 13:37:36
3403,మురుకులు,jantikalu,chakralu_2.jpg,4,8,2,2,2021-06-21 13:37:36,2021-06-21 13:37:36
3404,చక్రాలు,jantikalu,chakralu_2.jpg,3,7,4,4,2021-06-21 13:37:36,2021-06-21 13:37:36
3405,బిళ్ళసున్నము,billa sunnamu,grout_floor.jpg,5,12,3,3,2021-06-21 13:42:10,2021-06-21 13:42:10
3406,ఆటగాళ్ళు,players,players.png,4,8,4,4,2021-06-21 13:45:30,2021-06-21 13:45:30
3407,పొన్నట్టు,wood ladle,wooden_spoon.jpeg,3,9,4,4,2021-06-21 13:50:35,2021-06-21 13:50:35
3408,అబక,wood ladle,wooden_spoon.jpeg,3,3,1,1,2021-06-21 13:50:35,2021-06-21 13:50:35
3409,ఉగాదిపచ్చడి,ugadi pickle,ugadi_pachchadi.jpg,6,11,3,3,2021-06-21 13:54:40,2021-06-21 13:54:40
3410,తైరు,curd,yogurt.jpeg,2,4,2,2,2021-06-21 13:58:05,2021-06-21 13:58:05
3411,పెరుదు,curd,yogurt.jpeg,3,6,2,2,2021-06-21 13:58:05,2021-06-21 13:58:05
3412,దధి,curd,yogurt.jpeg,2,3,2,2,2021-06-21 13:58:05,2021-06-21 13:58:05
3413,అడ్డంకి,barricade,barricade.jpg,3,7,4,4,2021-06-24 18:28:37,2021-06-24 18:28:37
3414,తిరుగుబాటు,revolt,revolt.jpg,5,10,2,2,2021-06-24 18:32:37,2021-06-24 18:32:37
3415,పెన్నడపులుగు,large crane,large_crane.jpg,6,12,3,3,2021-06-26 07:46:58,2021-06-26 07:46:58
3416,కుబేరుడు,lord kubera,lord_kubera.jpg,4,8,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3417,కిన్నరేశుడు,lord kubera,lord_kubera.jpg,5,11,3,3,2021-06-26 07:51:00,2021-06-26 07:51:00
3418,ధనపతి,lord kubera,lord_kubera.jpg,4,5,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3419,ధనపాలుడు,lord kubera,lord_kubera.jpg,5,8,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3420,పసిడిరేడు,lord kubera,lord_kubera.jpg,5,9,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3421,పైడిదొర,lord kubera,lord_kubera.jpg,4,7,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3422,పైడిరాయడు,lord kubera,lord_kubera.jpg,5,9,2,2,2021-06-26 07:51:00,2021-06-26 07:51:00
3423,నిప్పట్లు,ariselu,ariselu_sweets.png,3,9,4,4,2021-06-26 08:09:54,2021-06-26 08:09:54
3424,అరిసెలు,ariselu,ariselu_sweets.png,4,7,2,2,2021-06-26 08:09:54,2021-06-26 08:09:54
3425,అత్తిరసాలు,ariselu,ariselu_sweets.png,5,10,4,4,2021-06-26 08:09:54,2021-06-26 08:09:54
3426,ఢక్కి,hand drum,hand drum.png,2,5,4,4,2021-06-26 08:11:20,2021-06-26 08:11:20
3427,తరువు,tree,tree.jpg,3,5,2,2,2021-06-26 08:14:31,2021-06-26 08:14:31
3428,చెట్టు,tree,tree.jpg,2,6,4,4,2021-06-26 08:14:31,2021-06-26 08:14:31
3429,అడిగర్ర,wooden shoe,paduka_sandals.jpg,4,7,3,3,2021-06-26 08:19:25,2021-06-26 08:19:25
3430,పాదుక,wooden shoe,paduka_sandals.jpg,3,5,2,2,2021-06-26 08:19:25,2021-06-26 08:19:25
3431,అక్రమభిన్నము,improper fraction,improper_fraction.JPG,6,12,3,3,2021-06-26 08:24:08,2021-06-26 08:24:08
3432,అడవిదున్న,wild buffalo,wild_buffalo.jpg,5,9,3,3,2021-06-26 08:27:26,2021-06-26 08:27:26
3433,కారెనుబోతు.కారుదున్న,wild buffalo,wild_buffalo.jpg,10,20,3,3,2021-06-26 08:27:26,2021-06-26 08:27:26
3434,అంగారుబొట్టు,black bindi,black_dot.jpg,5,12,4,4,2021-06-26 08:36:15,2021-06-26 08:36:15
3435,అంగారు,black paste,black_paste.JPG,3,6,2,2,2021-06-26 08:36:15,2021-06-26 08:36:15
3436,ఊరుగాయ,pickled veggie,pickled_veggies.jpg,4,6,2,2,2021-06-26 08:40:01,2021-06-26 08:40:01
3437,కన్నగాడు,house breaker,burglar.jpg,4,8,3,3,2021-06-26 08:44:23,2021-06-26 08:44:23
3438,కన్నపుదొంగ,house breaker,burglar.jpg,5,10,3,3,2021-06-26 08:44:23,2021-06-26 08:44:23
3439,అంచనాదారుడు,appraiser,appraiser.jpg,6,11,2,2,2021-06-26 08:50:22,2021-06-26 08:50:22
3440,అగాధము,deep hole,deep_hole.jpg,4,6,2,2,2021-06-26 08:53:43,2021-06-26 08:53:43
3441,అంజీరపళ్ళు,fig,fig_fruit_anjeera_atti.jpg,5,10,4,4,2021-06-26 08:55:58,2021-06-26 08:55:58
3442,సీమమేడిపండు,fig,fig_fruit_anjeera_atti.jpg,6,11,2,2,2021-06-26 08:55:58,2021-06-26 08:55:58
3443,అంజీరుపళ్ళు,figs,kharbuja_fruit_figs.jpg,5,11,4,4,2021-06-26 08:57:52,2021-06-26 08:57:52
3444,అగస్త్యుడు,agastya,agastya_maharshi.JPG,4,10,6,6,2021-06-26 09:14:02,2021-06-26 09:14:02
3445,అగస్త్యమహర్షి,agastya,agastya_maharshi.JPG,6,13,5,5,2021-06-26 09:14:02,2021-06-26 09:14:02
3446,అన్నదమ్ములు,brothers,brothers.png,5,11,4,4,2021-06-26 09:15:11,2021-06-26 09:15:11
